startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_phone,startup_email
Tryon Environnement annonce une levée de fonds de 6 millions €,6 000 000 €,06/02/2024,https://www.jaimelesstartups.fr/news/tryon-environnement-annonce-une-levee-de-fonds-de-6-millions-e/,,,,,,
Allaw,500 000€,30/01/2024,https://www.jaimelesstartups.fr/allaw-plateforme-des-professionnels-du-droit/,,,,,,
WELFAIRE annonce une levée de 3 millions €,3 M€,30/01/2024,https://www.jaimelesstartups.fr/news/welfaire-annonce-une-levee-de-3-millions-e/,,,,,,
Batconnect annonce une levée de fonds de 3 millions €,3 000 000,30/01/2024,https://www.jaimelesstartups.fr/news/batconnect-annonce-une-levee-de-fonds-de-3-millions-e/,,,,,,
"LiveMeUp annonce une levée de fonds de 1,6 millions €","1,6",29/01/2024,https://www.jaimelesstartups.fr/news/livemeup-annonce-une-levee-de-fonds-de-16-millions-e/,,,,,,
Limited Resell,1 000 000,25/01/2024,https://www.jaimelesstartups.fr/limited-resell-sneakers-en-collection-limitee/,,,,,,
Ideta annonce le rachat de la startup spécialisé dans les chatbot Clevy,"1,7 M€",24/01/2024,https://www.jaimelesstartups.fr/news/ideta-annonce-le-rachat-de-la-startup-specialise-dans-les-chatbot-clevy/,,,,,,
Fairspace annonce une levée de 300K pour ses bureaux durables,300000,22/01/2024,https://www.jaimelesstartups.fr/news/fairspace-annonce-une-levee-de-300k-pour-ses-bureaux-durables/,,,,,,
L’appli inclusive pour sportifs Smatchy est dispo sur les stores,500 000 €,22/01/2024,https://www.jaimelesstartups.fr/news/lappli-inclusive-pour-sportifs-smatchy-est-dispo-sur-les-stores/,,,,,,
Kinvent annonce une levée de fonds de 16 millios d’euros,16 millions,22/01/2024,https://www.jaimelesstartups.fr/news/kinvent-annonce-une-levee-de-fonds-de-16-millios-deuros/,,,,,,
"Lify-Air annonce une levée de fonds d’1,5 millions €","1,5 Million d'euros",18/01/2024,https://www.jaimelesstartups.fr/news/lify-air-annonce-une-levee-de-fonds-d15-millions-e/,,,,,,
La startup de cybersécurité Tenacy annonce une levée de fonds de 6 millions €,6 millions €,17/01/2024,https://www.jaimelesstartups.fr/news/tenacy-annonce-une-levee-de-fonds-de-6-millions-e/,,,,,,
"Campsider lève 2,5 millions € dont 400K en crowdequity","2,5m€",15/01/2024,https://www.jaimelesstartups.fr/news/campsider-leve-25-millions-e-dont-400k-en-crowdequity/,,,,,,
